ld203_filer_org,disclosed_giving_total,items
HONEYWELL INTERNATIONAL,7712170.0,2819
BOEING COMPANY,7405782.0,2943
GENERAL MOTORS COMPANY,7348014.0,1338
MICROSOFT CORPORATION,6996517.0,1359
APPLE INC.,6935629.0,239
"NEXTERA ENERGY, INC.",4136800.0,1159
DUKE ENERGY CORPORATION,2434250.0,920
ASSOCIATED GENERAL CONTRACTORS OF AMERICA,2309000.0,1007
NATIONAL ASSOCIATION OF MANUFACTURERS,1973707.0,389
"UBER TECHNOLOGIES, INC.",1373291.0,69
CHAMBER OF COMMERCE OF THE U.S.A.,1356601.0,907
SEMPRA,1346584.0,511
UNITED MINE WORKERS OF AMERICA,1344263.0,907
FORD MOTOR COMPANY,1308431.0,388
DEERE & COMPANY,1174500.0,338
AMERICAN CLEAN POWER ASSOCIATION,1134222.0,296
FCA US LLC,1078750.0,16
EDISON ELECTRIC INSTITUTE,1033140.0,391
PPL CORPORATION,808535.0,374
SOLAR ENERGY INDUSTRIES ASSOCIATION,776990.0,264
AMEREN SERVICES,770700.0,378
BERKSHIRE HATHAWAY ENERGY,662400.0,275
"AMERICAN ELECTRIC POWER COMPANY, INC. AND AFFILIATED CORPORATIONS",520925.0,260
CMS ENERGY CORP,484250.0,189
SIEMENS CORPORATION,463700.0,270
NATIONAL MINING ASSOCIATION,463424.0,363
ALLIANCE FOR AUTOMOTIVE INNOVATION,219240.0,147
INFORMATION TECHNOLOGY INDUSTRY COUNCIL,207520.0,210
PUGET SOUND ENERGY,171454.0,95
FREEPORT-MCMORAN INC.,159833.0,70
THE MOSAIC COMPANY,151800.0,71
PORTLAND GENERAL ELECTRIC,141650.0,67
THE CHEMOURS COMPANY,137550.0,82
NATIONAL GRID USA,134000.0,82
SYENSQO USA LLC,112513.0,75
MOTOR & EQUIPMENT MANUFACTURERS ASSOCIATION,93159.0,78
NATIONAL ELECTRICAL MANUFACTURERS ASSOCIATION,76050.0,49
ARKEMA INC. AND ITS AFFILIATES (FKA ARKEMA INC.),71500.0,63
AIR LIQUIDE USA LLC,53000.0,23
ARCONIC CORPORATION,46500.0,28
"HOWMET AEROSPACE, INC. FORMALLY KNOWN AS ARCONIC, INC.",34850.0,48
ALBEMARLE CORPORATION,30250.0,18
SOLAREDGE TECHNOLOGIES INC.,22500.0,14
"AMERICAN HONDA MOTOR CO., INC.",9533.0,14
TESLA INC.,6550.0,11
"RIVIAN AUTOMOTIVE, LLC",4600.0,12
COALITION FOR A PROSPEROUS AMERICA,4570.0,7
CAMECO CORPORATION,2500.0,3
BIPARTISAN POLICY CENTER ACTION,2000.0,5
NATIONAL HYDROPOWER ASSOCIATION,1850.0,5
EARTHJUSTICE ACTION,1450.0,5
"LEEWARD RENEWABLE ENERGY, LLC",1250.0,2
"SK AMERICAS, INC.",1070.0,6
EQUINOR US OPERATIONS LLC,500.0,1
IPERIONX CRITICAL MINERALS LLC,500.0,1
