filing_year,filing_period,critmin_filings,critmin_clients,canonical_spend_tagged_clients
2022,first_quarter,279,246,84457268
2022,second_quarter,299,265,76677495
2022,third_quarter,294,261,80773034
2022,fourth_quarter,287,259,80196229
2023,first_quarter,289,261,92430792
2023,second_quarter,311,279,83333254
2023,third_quarter,319,288,82949675
2023,fourth_quarter,328,296,102365277
2024,first_quarter,324,289,111583577
2024,second_quarter,348,309,96767679
2024,third_quarter,358,320,100004900
2024,fourth_quarter,366,323,113033385
2025,first_quarter,377,324,119360309
2025,second_quarter,447,387,133672574
2025,third_quarter,464,400,111787170
2025,fourth_quarter,467,401,120090708
2026,first_quarter,449,393,142481568
