filing_year,filing_period,crypto_filings,crypto_clients,canonical_spend_tagged_clients
2022,first_quarter,182,136,80441132
2022,second_quarter,214,155,66460124
2022,third_quarter,246,181,80389557
2022,fourth_quarter,258,192,83387421
2023,first_quarter,240,182,72699898
2023,second_quarter,245,182,75493620
2023,third_quarter,244,184,68633243
2023,fourth_quarter,231,175,68750698
2024,first_quarter,225,169,74908308
2024,second_quarter,246,182,70520005
2024,third_quarter,233,174,61866625
2024,fourth_quarter,241,178,80979967
2025,first_quarter,278,211,73371152
2025,second_quarter,368,278,83602319
2025,third_quarter,387,288,100071466
2025,fourth_quarter,391,287,112323700
2026,first_quarter,372,268,109618395
