filing_year,filing_period,health_filings,health_clients,canonical_spend_hc_clients
2022,first_quarter,4104,2985,426470745
2022,second_quarter,4138,3013,383365764
2022,third_quarter,4096,2972,414788172
2022,fourth_quarter,4013,2907,411539586
2023,first_quarter,3919,2854,403320539
2023,second_quarter,3962,2889,359858508
2023,third_quarter,3998,2916,351678003
2023,fourth_quarter,4028,2941,382395579
2024,first_quarter,4044,2967,425593979
2024,second_quarter,4029,2978,387939137
2024,third_quarter,4025,2966,353700363
2024,fourth_quarter,3986,2926,372307899
2025,first_quarter,4067,2966,432913549
2025,second_quarter,4314,3163,434432970
2025,third_quarter,4384,3193,401867960
2025,fourth_quarter,4363,3202,415870889
2026,first_quarter,3852,2825,445072401
