filing_year,filing_period,general_issue_code,filings
2022,first_quarter,AVI,438
2022,first_quarter,MAR,345
2022,first_quarter,ROD,128
2022,first_quarter,RRR,126
2022,first_quarter,TRA,1875
2022,first_quarter,TRU,96
2022,second_quarter,AVI,436
2022,second_quarter,MAR,351
2022,second_quarter,ROD,129
2022,second_quarter,RRR,126
2022,second_quarter,TRA,1900
2022,second_quarter,TRU,98
2022,third_quarter,AVI,448
2022,third_quarter,MAR,359
2022,third_quarter,ROD,127
2022,third_quarter,RRR,140
2022,third_quarter,TRA,1891
2022,third_quarter,TRU,95
2022,fourth_quarter,AVI,442
2022,fourth_quarter,MAR,354
2022,fourth_quarter,ROD,128
2022,fourth_quarter,RRR,152
2022,fourth_quarter,TRA,1856
2022,fourth_quarter,TRU,85
2023,first_quarter,AVI,496
2023,first_quarter,MAR,354
2023,first_quarter,ROD,118
2023,first_quarter,RRR,152
2023,first_quarter,TRA,1809
2023,first_quarter,TRU,86
2023,second_quarter,AVI,558
2023,second_quarter,MAR,368
2023,second_quarter,ROD,120
2023,second_quarter,RRR,153
2023,second_quarter,TRA,1840
2023,second_quarter,TRU,92
2023,third_quarter,AVI,577
2023,third_quarter,MAR,361
2023,third_quarter,ROD,115
2023,third_quarter,RRR,156
2023,third_quarter,TRA,1807
2023,third_quarter,TRU,93
2023,fourth_quarter,AVI,579
2023,fourth_quarter,MAR,360
2023,fourth_quarter,ROD,110
2023,fourth_quarter,RRR,144
2023,fourth_quarter,TRA,1791
2023,fourth_quarter,TRU,90
2024,first_quarter,AVI,585
2024,first_quarter,MAR,375
2024,first_quarter,ROD,106
2024,first_quarter,RRR,145
2024,first_quarter,TRA,1788
2024,first_quarter,TRU,84
2024,second_quarter,AVI,587
2024,second_quarter,MAR,384
2024,second_quarter,ROD,107
2024,second_quarter,RRR,141
2024,second_quarter,TRA,1763
2024,second_quarter,TRU,87
2024,third_quarter,AVI,528
2024,third_quarter,MAR,374
2024,third_quarter,ROD,105
2024,third_quarter,RRR,143
2024,third_quarter,TRA,1726
2024,third_quarter,TRU,88
2024,fourth_quarter,AVI,513
2024,fourth_quarter,MAR,367
2024,fourth_quarter,ROD,105
2024,fourth_quarter,RRR,140
2024,fourth_quarter,TRA,1700
2024,fourth_quarter,TRU,87
2025,first_quarter,AVI,527
2025,first_quarter,MAR,359
2025,first_quarter,ROD,111
2025,first_quarter,RRR,139
2025,first_quarter,TRA,1661
2025,first_quarter,TRU,80
2025,second_quarter,AVI,546
2025,second_quarter,MAR,370
2025,second_quarter,ROD,114
2025,second_quarter,RRR,142
2025,second_quarter,TRA,1734
2025,second_quarter,TRU,78
2025,third_quarter,AVI,548
2025,third_quarter,MAR,377
2025,third_quarter,ROD,116
2025,third_quarter,RRR,150
2025,third_quarter,TRA,1748
2025,third_quarter,TRU,79
2025,fourth_quarter,AVI,536
2025,fourth_quarter,MAR,378
2025,fourth_quarter,ROD,112
2025,fourth_quarter,RRR,148
2025,fourth_quarter,TRA,1725
2025,fourth_quarter,TRU,80
2026,first_quarter,AVI,501
2026,first_quarter,MAR,357
2026,first_quarter,ROD,95
2026,first_quarter,RRR,130
2026,first_quarter,TRA,1582
2026,first_quarter,TRU,71
