registrant_name,trans_filings,clients,reported_amount_ranking_signal
HOLLAND & KNIGHT LLP,827,102,36750000
VAN SCOYOC ASSOCIATES,603,56,17020000
"ELEVATE GOVERNMENT AFFAIRS, LLC",584,49,23320000
"K&L GATES, LLP",529,80,28180000
"CORNERSTONE GOVERNMENT AFFAIRS, INC.",510,65,19130000
"CASSIDY & ASSOCIATES, INC.",478,51,21195000
SUMMIT STRATEGIES GOVERNMENT AFFAIRS LLC,455,42,10055000
SQUIRE PATTON BOGGS,437,58,19240000
BLANK ROME GOVERNMENT RELATIONS,425,44,14470000
"ALPINE GROUP PARTNERS, LLC.",404,42,20420000
"CARPI & CLAY, INC",401,41,8760000
CFM STRATEGIC COMMUNICATIONS (CONKLING FISKUM & MCCORMICK),374,31,7450000
CARDINAL INFRASTRUCTURE LLC,369,32,5857000
"TOWNSEND PUBLIC AFFAIRS, INC",369,54,8412149
"TAI GINSBERG & ASSOCIATES, LLC",366,38,7750000
THORN RUN PARTNERS,356,45,11000000
AKIN GUMP STRAUSS HAUER & FELD,355,53,18020000
"WATER STRATEGIES, LLC",352,32,7060000
"ROBERTSON, MONAGLE, & EASTAUGH LLC (FKA ROBERTSON, MONAGLE & EASTAUGH PC)",325,35,2414241
"THE FERGUSON GROUP, LLC",305,41,6123000
INVARIANT LLC,286,40,20700000
FORBES-TATE,280,32,14760000
"CROSSROADS STRATEGIES, LLC",271,31,13090000
ALCALDE & FAY,258,25,5910000
BGR GOVERNMENT AFFAIRS,255,30,16080000
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",251,38,14670250
"O'KEEFFE SHAHMORADI STRATEGIES, LLC",235,27,6810000
GORDON THOMAS HONEYWELL GOVERNMENTAL AFFAIRS,234,16,4305500
ALIGNMENT GOVERNMENT STRATEGIES,231,16,7260000
HB STRATEGIES (FKA HUSCH BLACKWELL STRATEGIES),230,31,5730000
"JONES WALKER, LLP",228,21,5920000
SMITH GARSON,222,30,6027000
ATLAS CROSSING LLC,210,21,8660000
"BECKER & POLIAKOFF, P.A.",208,37,3943000
"BALLARD PARTNERS, LLC",200,37,9480000
BOUNDARY STONE PARTNERS,199,37,8190000
PRIMACY STRATEGY GROUP,194,14,2400000
SULLIVAN STRATEGIES LLC (FKA SB CAPITOL SOLUTIONS),174,14,4053900
FBB FEDERAL RELATIONS,170,16,1073000
DOWNS GOVERNMENT AFFAIRS,168,10,1653000
CAPITOL COUNSEL LLC,165,26,6330000
MONUMENT ADVOCACY,164,22,7280000
VIKING NAVIGATION LLC,162,14,8677000
"BC CONSULTING, LLC",160,10,5387500
"MEHLMAN CONSULTING, INC.",159,17,7300000
THE DOERRER GROUP LLC,151,13,4070000
THE VOGEL GROUP,151,21,3199533
HANCE SCARBOROUGH,150,13,3480000
"WILLIAMS AND JENSEN, PLLC",150,12,6150000
S-3 GROUP,149,15,7310000
"SBL STRATEGIES, LLC",148,11,4589000
WINNING STRATEGIES WASHINGTON,146,15,3170000
"COVINO SMITH & SIMON, INC. (FORMERLY SIMON AND COMPANY, INC.)",142,23,1768226
"MERCHANT MCINTYRE & ASSOCIATES, LLC",142,18,3070000
TEAM HALLAHAN LLC,141,13,3220000
"CJ LAKE, LLC",138,16,3750000
"JOHNSTON GROUP, LLC",137,10,1655000
POTOMAC PARTNERS DC,134,10,5286200
"ADAMS AND REESE, LLP",130,9,3280000
COZEN O'CONNOR PUBLIC STRATEGIES,127,23,5370000
